0.881944444, 2: 1198, 3: 1211, 4: 1223, roll: 0.19, pitch: 0.05, yaw: -0.08,0.012,0.068,0.051, Alt: 35.34, Integrators ON
0.881944444, 2: 1199, 3: 1212, 4: 1222, roll: 0.18, pitch: 0.05, yaw: -0.08,0.021,0.062,0.052, Alt: 35.90, Integrators ON
0.881944444, 2: 1200, 3: 1212, 4: 1221, roll: 0.18, pitch: 0.04, yaw: -0.09,0.022,0.076,0.053, Alt: 36.50, Integrators ON
0.88125, 2: 1201, 3: 1212, 4: 1220, roll: 0.17, pitch: 0.02, yaw: -0.10,0.067,0.147,0.101, Alt: 37.06, Integrators ON
0.879861111, 2: 1206, 3: 1214, 4: 1216, roll: 0.17, pitch: 0.01, yaw: -0.11,0.034,0.078,0.054, Alt: 37.69, Integrators ON
0.879861111, 2: 1206, 3: 1214, 4: 1215, roll: 0.16, pitch: -0.00, yaw: -0.12,0.048,0.086,0.05, Alt: 38.25, Integrators ON
0.879861111, 2: 1207, 3: 1214, 4: 1214, roll: 0.16, pitch: -0.00, yaw: -0.12,0,0,0, Alt: 38.85, Integrators ON
0.880555556, 2: 1204, 3: 1213, 4: 1218, roll: 0.15, pitch: -0.02, yaw: -0.12,0.102,0.165,0.065, Alt: 39.42, Integrators ON
0.879861111, 2: 1209, 3: 1214, 4: 1212, roll: 0.14, pitch: -0.03, yaw: -0.13,0.057,0.088,0.051, Alt: 40.04, Integrators ON
0.879861111, 2: 1210, 3: 1214, 4: 1211, roll: 0.13, pitch: -0.04, yaw: -0.14,0.065,0.09,0.054, Alt: 40.59, Integrators ON
0.879861111, 2: 1211, 3: 1214, 4: 1210, roll: 0.13, pitch: -0.05, yaw: -0.14,0.064,0.085,0.048, Alt: 41.16, Integrators ON
0.879861111, 2: 1212, 3: 1214, 4: 1209, roll: 0.12, pitch: -0.06, yaw: -0.14,0.074,0.091,-0.014, Alt: 41.75, Integrators ON
0.879861111, 2: 1213, 3: 1214, 4: 1208, roll: 0.11, pitch: -0.08, yaw: -0.15,0.072,0.089,0.048, Alt: 42.30, Integrators ON
0.879861111, 2: 1214, 3: 1214, 4: 1207, roll: 0.10, pitch: -0.09, yaw: -0.15,0.074,0.08,0.045, Alt: 42.87, Integrators ON
0.879861111, 2: 1215, 3: 1214, 4: 1206, roll: 0.09, pitch: -0.10, yaw: -0.16,0.078,0.085,0.048, Alt: 43.46, Integrators ON
0.879861111, 2: 1216, 3: 1214, 4: 1205, roll: 0.08, pitch: -0.10, yaw: -0.17,0.079,0.07,0.046, Alt: 44.06, Integrators ON
0.879861111, 2: 1217, 3: 1214, 4: 1205, roll: 0.07, pitch: -0.11, yaw: -0.17,0.088,0.069,0.034, Alt: 44.63, Integrators ON
0.880555556, 2: 1217, 3: 1213, 4: 1204, roll: 0.06, pitch: -0.12, yaw: -0.17,0.086,0.067,0.04, Alt: 45.22, Integrators ON
0.880555556, 2: 1218, 3: 1213, 4: 1203, roll: 0.05, pitch: -0.13, yaw: -0.18,0.091,0.067,0.039, Alt: 45.77, Integrators ON
0.88125, 2: 1219, 3: 1213, 4: 1202, roll: 0.04, pitch: -0.14, yaw: -0.18,0.079,0.049,0.04, Alt: 46.34, Integrators ON
0.88125, 2: 1219, 3: 1212, 4: 1202, roll: 0.03, pitch: -0.14, yaw: -0.19,0.091,0.056,0.038, Alt: 46.92, Integrators ON
0.881944444, 2: 1220, 3: 1212, 4: 1201, roll: 0.02, pitch: -0.15, yaw: -0.19,0.08,0.036,0.005, Alt: 47.47, Integrators ON
0.881944444, 2: 1220, 3: 1211, 4: 1202, roll: 0.01, pitch: -0.15, yaw: -0.19,0.095,0.042,0.034, Alt: 48.05, Integrators ON
0.882638889, 2: 1220, 3: 1210, 4: 1201, roll: -0.00, pitch: -0.15, yaw: -0.20,0.08,0.024,0.038, Alt: 48.63, Integrators ON
0.882638889, 2: 1220, 3: 1210, 4: 1201, roll: -0.02, pitch: -0.16, yaw: -0.20,0.094,0.026,0.032, Alt: 49.24, Integrators ON
0.883333333, 2: 1221, 3: 1209, 4: 1200, roll: -0.03, pitch: -0.16, yaw: -0.21,0.079,0.011,0.038, Alt: 49.81, Integrators ON
0.884027778, 2: 1220, 3: 1208, 4: 1201, roll: -0.04, pitch: -0.16, yaw: -0.20,0.089,0.009,-0.05, Alt: 50.41, Integrators ON
0.884722222, 2: 1221, 3: 1207, 4: 1201, roll: -0.05, pitch: -0.16, yaw: -0.20,0.076,-0.007,0.034, Alt: 51.02, Integrators ON
0.885416667, 2: 1220, 3: 1207, 4: 1201, roll: -0.06, pitch: -0.16, yaw: -0.21,0.084,-0.003,0.031, Alt: 51.61, Integrators ON
0.885416667, 2: 1220, 3: 1206, 4: 1201, roll: -0.07, pitch: -0.16, yaw: -0.21,0.073,-0.022,0.035, Alt: 52.21, Integrators ON
0.886111111, 2: 1220, 3: 1205, 4: 1202, roll: -0.07, pitch: -0.15, yaw: -0.22,0.075,-0.02,0.032, Alt: 52.85, Integrators ON
0.886805556, 2: 1220, 3: 1204, 4: 1202, roll: -0.08, pitch: -0.15, yaw: -0.22,0.075,-0.033,0.03, Alt: 53.49, Integrators ON
0.8875, 2: 1219, 3: 1203, 4: 1202, roll: -0.09, pitch: -0.15, yaw: -0.23,0.064,-0.039,0.036, Alt: 54.12, Integrators ON
0.888194444, 2: 1219, 3: 1202, 4: 1203, roll: -0.10, pitch: -0.14, yaw: -0.23,0.069,-0.042,0.033, Alt: 54.76, Integrators ON
0.888888889, 2: 1218, 3: 1201, 4: 1203, roll: -0.11, pitch: -0.13, yaw: -0.23,0.059,-0.056,0.033, Alt: 55.42, Integrators ON
0.889583333, 2: 1217, 3: 1201, 4: 1204, roll: -0.12, pitch: -0.13, yaw: -0.24,0.058,-0.058,0.036, Alt: 56.06, Integrators ON
0.890277778, 2: 1217, 3: 1200, 4: 1204, roll: -0.12, pitch: -0.12, yaw: -0.24,0.061,-0.062,0.054, Alt: 56.71, Integrators ON
0.890972222, 2: 1217, 3: 1199, 4: 1205, roll: -0.13, pitch: -0.11, yaw: -0.25,0.051,-0.071,0.035, Alt: 57.37, Integrators ON
0.890972222, 2: 1216, 3: 1198, 4: 1205, roll: -0.14, pitch: -0.10, yaw: -0.25,0.051,-0.077,0.035, Alt: 58.02, Integrators ON
0.891666667, 2: 1215, 3: 1197, 4: 1206, roll: -0.14, pitch: -0.09, yaw: -0.26,0.041,-0.08,0.038, Alt: 58.67, Integrators ON
0.892361111, 2: 1214, 3: 1196, 4: 1207, roll: -0.15, pitch: -0.08, yaw: -0.26,0.035,-0.086,0.036, Alt: 59.35, Integrators ON
0.893055556, 2: 1213, 3: 1195, 4: 1208, roll: -0.15, pitch: -0.06, yaw: -0.27,0.058,-0.188,0.073, Alt: 60.00, Integrators ON
0.896527778, 2: 1210, 3: 1191, 4: 1211, roll: -0.16, pitch: -0.04, yaw: -0.28,0.022,-0.099,0.037, Alt: 60.68, Integrators ON
0.896527778, 2: 1209, 3: 1191, 4: 1212, roll: -0.16, pitch: -0.03, yaw: -0.28,0.019,-0.103,0.038, Alt: 61.36, Integrators ON
0.896527778, 2: 1209, 3: 1190, 4: 1213, roll: -0.16, pitch: -0.02, yaw: -0.29,0.012,-0.107,0.037, Alt: 62.05, Integrators ON
0.896527778, 2: 1208, 3: 1190, 4: 1213, roll: -0.16, pitch: -0.00, yaw: -0.29,0.01,-0.108,0.039, Alt: 62.70, Integrators ON
0.896527778, 2: 1207, 3: 1190, 4: 1214, roll: -0.16, pitch: 0.01, yaw: -0.30,0.006,-0.109,0.037, Alt: 63.36, Integrators ON
